mpn,manufacturer,package,metric,capacitance_pf,voltage_v,tolerance,dielectric,length_mm,width_mm,height_nominal_mm,height_max_mm,terminal_mm,qualification,features,conditions,datasheet,geometry_source,geometry_id,pad_length_mm,pad_width_mm,pad_gap_mm
GCD188R71E273KA01D,Murata,0603,1608,27000,25,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E273KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71E273MA01D,Murata,0603,1608,27000,25,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E273MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71E333KA01D,Murata,0603,1608,33000,25,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E333KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71E333MA01D,Murata,0603,1608,33000,25,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E333MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71E393KA01D,Murata,0603,1608,39000,25,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E393KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71E393MA01D,Murata,0603,1608,39000,25,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E393MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71E473KA01D,Murata,0603,1608,47000,25,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E473KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71E473MA01D,Murata,0603,1608,47000,25,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E473MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H102KA01D,Murata,0603,1608,1000,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H102KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H102MA01D,Murata,0603,1608,1000,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H102MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H103KA01D,Murata,0603,1608,10000,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H103KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
