subseries,mpn,operating_temp_min_c,operating_temp_max_c,jelf_id,tokens
LQM18DH_70,LQM18DH100M70L,-55,150,JELF243B-9127,10|±20|1.05±0.32|32|100|300|10|4
LQM18DH_70,LQM18DH150M70L,-55,150,JELF243B-9127,15|±20|1.95±0.59|24|80|220|10|4
LQM18DH_70,LQM18DH220M70L,-55,150,JELF243B-9127,22|±20|2.40|±0.72|15|50|200|10|4
LQM18DH_70,LQM18DH330M70L,-55,150,JELF243B-9127,33|±20|2.40|±0.72|13|30|200|10|4
LQM18DH_70,LQM18DH470M70L,-55,150,JELF243B-9127,47|±20|2.55|±0.77|10|20|180|10|4
LQM18DH_70,LQM18DH6R8M70L,-55,150,JELF243B-9127,6.8|±20|0.74±0.22|40|120|330|10|4
LQM18DN_70,LQM18DN100M70L,-55,125,JELF243B-0086,10|±20|1.05±0.32|32|100|300
LQM18DN_70,LQM18DN150M70L,-55,125,JELF243B-0086,15|±20|1.95|±0.59|24|80|220
LQM18DN_70,LQM18DN220M70L,-55,125,JELF243B-0086,22|±20|2.40|±0.72|15|50|200
LQM18DN_70,LQM18DN330M70L,-55,125,JELF243B-0086,33|±20|2.40|±0.72|13|30|200
LQM18DN_70,LQM18DN470M70L,-55,125,JELF243B-0086,47|±20|2.55|±0.77|10|20|180
LQM18DN_70,LQM18DN6R8M70L,-55,125,JELF243B-0086,6.8|±2|0|0.74±0.22|40|120|330
LQM18DZ_70,LQM18DZ100M70L,-55,125,JELF243B-9128,10|±20|1.05±0.32|32|100|300|4
LQM18DZ_70,LQM18DZ150M70L,-55,125,JELF243B-9128,15|±20|1.95|±0.59|24|80|220|4
LQM18DZ_70,LQM18DZ220M70L,-55,125,JELF243B-9128,22|±20|2.40|±0.72|15|50|200|4
LQM18DZ_70,LQM18DZ330M70L,-55,125,JELF243B-9128,33|±20|2.40|±0.72|13|30|200|4
LQM18DZ_70,LQM18DZ470M70L,-55,125,JELF243B-9128,47|±20|2.55|±0.77|10|20|180|4
LQM18DZ_70,LQM18DZ6R8M70L,-55,125,JELF243B-9128,6.8|±20|0.74±0.22|40|120|330|4
LQM18PH_FC,LQM18PH1R0MFCL,-55,150,JELF243B-9132,1.0|±20|0.39|0.49|115|850|580|450|10|4
LQM18PH_FC,LQM18PH1R5MFCL,-55,150,JELF243B-9132,1.5|±20|0.50|0.63|100|600|540|400|10|4
LQM18PH_FC,LQM18PH2R2MFCL,-55,150,JELF243B-9132,2.2|±20|0.58|0.73|90|360|500|360|10|4
LQM18PH_FC,LQM18PH3R3MFCL,-55,150,JELF243B-9132,3.3|±20|0.83|1.04|60|330|420|300|10|4
LQM18PH_FC,LQM18PH4R7MFCL,-55,150,JELF243B-9132,4.7|±20|1.05|1.31|50|230|370|270|10|4
LQM18PH_FR,LQM18PH1R0MFRL,-55,150,JELF243B-9126,1.0|±20|0.20|0.250|100|360|950|630|10|4
LQM18PH_FR,LQM18PH1R5MFRL,-55,150,JELF243B-9126,1.5|±20|0.23|0.288|100|240|800|570|10|4
LQM18PH_FR,LQM18PH2R2MFRL,-55,150,JELF243B-9126,2.2|±20|0.30|0.375|70|150|750|500|10|4
LQM18PH_FR,LQM18PH3R3MFRL,-55,150,JELF243B-9126,3.3|±20|0.35|0.438|60|80|700|470|10|4
LQM18PH_FR,LQM18PH4R7MFRL,-55,150,JELF243B-9126,4.7|±20|0.44|0.550|40|70|620|420|10|4
LQM18PH_FR,LQM18PHR22MFRL,-55,150,JELF243B-9126,0.22|±20|0.11|0.138|100|1500|1250|850|10|4
LQM18PN_B0,LQM18PN1R5NB0L,-55,125,JELF243B-0029,1.5|±30|0.35±25%|50|600
LQM18PN_C0,LQM18PN1R0NC0L,-55,125,JELF243B-0030,1.0|±30|0.20±25%|50|750
LQM18PN_C0,LQM18PN1R5NC0L,-55,125,JELF243B-0030,1.5|±30|0.22±25%|50|720
LQM18PN_C0,LQM18PN1R8NC0L,-55,125,JELF243B-0030,1.8|±30|0.24±25%|50|700
LQM18PN_C0,LQM18PN2R2NC0L,-55,125,JELF243B-0030,2.2|±30|0.24±25%|50|700
LQM18PN_C0,LQM18PNR47NC0L,-55,125,JELF243B-0030,0.47|±30|0.15±25%|50|850
LQM18PN_D0,LQM18PN2R5ND0D,-40,85,JELF243B-0037,2.5|±30|0.24±25%|60|700
LQM18PN_DH,LQM18PN2R2MDHD,-40,85,JELF243B-0042,2.2|±20|0.38|0.475|60|300|250|800|650
LQM18PN_F0,LQM18PN1R0NF0L,-55,125,JELF243B-0031,1.0|±30|0.28±25%|50|600
LQM18PN_FC,LQM18PN1R0MFCL,-55,125,JELF243B-0094,1.0|±20|0.39|0.49|115|850|580|450
LQM18PN_FC,LQM18PN1R5MFCL,-55,125,JELF243B-0094,1.5|±20|0.|50|0.63|100|600|540|400
LQM18PN_FC,LQM18PN2R2MFCL,-55,125,JELF243B-0094,2.2|±20|0.58|0.73|90|360|500|360
LQM18PN_FC,LQM18PN3R3MFCL,-55,125,JELF243B-0094,3.3|±20|0.83|1.04|60|330|420|300
LQM18PN_FC,LQM18PN4R7MFCL,-55,125,JELF243B-0094,4.7|±20|1.05|1.31|50|230|370|270
LQM18PN_FH,LQM18PN1R0MFHD,-40,85,JELF243B-0043,1.0|±20|130|163|100|0.7|0.55|1.45|1.3
LQM18PN_FH,LQM18PN1R5MFHD,-40,85,JELF243B-0043,1.5|±20|170|213|80|0.5|0.4|1.25|1.1
LQM18PN_FH,LQM18PN2R2MFHD,-40,85,JELF243B-0043,2.2|±20|380|475|80|0.35|0.3|0.9|0.7
LQM18PN_FH,LQM18PNR47MFHD,-40,85,JELF243B-0043,0.47|±20|100|125|100|1.5|1.3|1.7|1.4
LQM18PN_FR,LQM18PN1R0MFRL,-40,85,JELF243B-0033,1.0|±20|0.20±25%|100|950
LQM18PN_FR,LQM18PN1R5MFRL,-40,85,JELF243B-0033,1.5|±20|0.23±25%|100|800
LQM18PN_FR,LQM18PN2R2MFRL,-40,85,JELF243B-0033,2.2|±20|0.30±25%|70|750
LQM18PN_FR,LQM18PN3R3MFRL,-40,85,JELF243B-0033,3.3|±20|0.35±25%|60|700
LQM18PN_FR,LQM18PN4R7MFRL,-40,85,JELF243B-0033,4.7|±20|0.44±25%|40|620
LQM18PN_FR,LQM18PNR22NFRL,-40,85,JELF243B-0033,0.22|±30|0.11±25%|100|1250
LQM18PN_FR,LQM18PNR47NFRL,-40,85,JELF243B-0033,0.47|±30|0.15±25%|100|1100
LQM18PN_GH,LQM18PN1R0MGHD,-40,85,JELF243B-0047,1.0|±20|200|250|100|0.9|0.8|1.15|1.05
LQM18PN_GH,LQM18PN2R2MGHD,-40,85,JELF243B-0047,2.2|±20|200|250|70|0.35|0.25|1.15|1.05
LQM18PN_GH,LQM18PN3R3MGHD,-40,85,JELF243B-0047,3.3|±20|200|250|30|0.2|0.15|1.15|1.05
LQM18PW_CH,LQM18PW1R0MCHD,-40,85,JELF243B-0048,1.0|±20|230|288|70|0.70|0.60|1.05|0.95
LQM18PW_CH,LQM18PW2R2MCHD,-40,85,JELF243B-0048,2.2|±20|380|475|50|0.30|0.20|0.85|0.75
LQM18PW_CH,LQM18PW2R5NCHD,-40,85,JELF243B-0048,2.5|±30|240|300|50|0.15|0.10|1.00|0.90
LQM18PZ_CH,LQM18PZ1R0MCHD,-55,125,JELF243B-9120,1.0|±20|0.29|80|600|950|650|4
LQM18PZ_CH,LQM18PZ2R2MCHD,-55,125,JELF243B-9120,2.2|±20|0.48|50|200|750|500|4
LQM18PZ_CH,LQM18PZ2R5NCHD,-55,125,JELF243B-9120,2.5|±30|0.30|50|100|900|640|4
LQM18PZ_DH,LQM18PZ2R2MDHD,-55,125,JELF243B-9121,2.2|±20|0.47|80|250|650|450|4
LQM18PZ_FH,LQM18PZ2R2MFHD,-55,125,JELF243B-9122,2.2|±20|0.47|80|300|700|500|4
LQM21DH_70,LQM21DH100M70L,-55,150,JELF243B-9125,10|±20|0.65|0.845|27|250|300|10|4
LQM21DH_70,LQM21DH101M70L,-55,150,JELF243B-9125,100|±20|3.15|4.095|8|20|160|10|4
LQM21DH_70,LQM21DH150M70L,-55,150,JELF243B-9125,15|±20|0.95|1.235|24|140|250|10|4
LQM21DH_70,LQM21DH220M70L,-55,150,JELF243B-9125,22|±20|1.25|1.625|19|100|220|10|4
LQM21DH_70,LQM21DH330M70L,-55,150,JELF243B-9125,33|±20|2.30|2.99|16|80|200|10|4
LQM21DH_70,LQM21DH470M70L,-55,150,JELF243B-9125,47|±20|2.30|2.99|12|50|200|10|4
LQM21DN_70,LQM21DN100M70L,,,JELF243B-0083,10|±20%|0.65|0.845|27|250|300
LQM21DN_70,LQM21DN101M70L,,,JELF243B-0083,100|±20%|3.15|4.095|8|20|160
LQM21DN_70,LQM21DN150M70L,,,JELF243B-0083,15|±20%|0.95|1.235|24|140|250
LQM21DN_70,LQM21DN220M70L,,,JELF243B-0083,22|±20%|1.25|1.625|19|100|220
LQM21DN_70,LQM21DN330M70L,,,JELF243B-0083,33|±20%|2.30|2.99|16|80|200
LQM21DN_70,LQM21DN470M70L,,,JELF243B-0083,47|±20%|2.30|2.99|12|50|200
LQM21FN_80,LQM21FN100M80L,,,JELF243B-0017,10|0.30±30%|15|100
LQM21FN_80,LQM21FN4R7M80L,,,JELF243B-0017,4.7
LQM21PH_G0,LQM21PH1R0NGCD,-55,150,JELF243B-9124,1.0|±30|0.10|0.13|50|1150|900|1000|850|10|4
LQM21PH_G0,LQM21PH1R5NGCD,-55,150,JELF243B-9124,1.5|±30|0.19|0.24|45|1000|800|850|650|10|4
LQM21PH_G0,LQM21PH2R2NGCD,-55,150,JELF243B-9124,2.2|±30|0.23|0.29|40|680|540|800|600|10|4
LQM21PH_G0,LQM21PHR47NG0D,-55,150,JELF243B-9124,0.47|±30|0.075|0.094|100|2700|2150|1300|950|10|4
LQM21PH_G0,LQM21PHR54NG0D,-55,150,JELF243B-9124,0.54|±30|0.075|0.094|100|2000|1600|1300|950|10|4
LQM21PH_GC,LQM21PH1R0NGCD,-55,150,JELF243B-9124,1.0|±30|0.10|0.13|50|1150|900|1000|850|10|4
LQM21PH_GC,LQM21PH1R5NGCD,-55,150,JELF243B-9124,1.5|±30|0.19|0.24|45|1000|800|850|650|10|4
LQM21PH_GC,LQM21PH2R2NGCD,-55,150,JELF243B-9124,2.2|±30|0.23|0.29|40|680|540|800|600|10|4
LQM21PH_GC,LQM21PHR47NG0D,-55,150,JELF243B-9124,0.47|±30|0.075|0.094|100|2700|2150|1300|950|10|4
LQM21PH_GC,LQM21PHR54NG0D,-55,150,JELF243B-9124,0.54|±30|0.075|0.094|100|2000|1600|1300|950|10|4
LQM21PH_GE,LQM21PH1R0MGEL,-55,150,JELF243B-9129,1.0|M|：±20%|0.22|0.28|120|2000|1600|950|600|10|4
LQM21PH_GE,LQM21PH1R5MGEL,-55,150,JELF243B-9129,1.5|M|：±20%|0.24|0.30|100|1500|1200|920|570|10|4
LQM21PH_GE,LQM21PH2R2MGEL,-55,150,JELF243B-9129,2.2|M：±20%|0.32|0.39|90|1100|880|800|500|10|4
LQM21PH_GE,LQM21PH3R3MGEL,-55,150,JELF243B-9129,3.3|M：±20%|0.37|0.46|70|670|530|740|460|10|4
LQM21PH_GE,LQM21PH4R7MGEL,-55,150,JELF243B-9129,4.7|M：±20%|0.43|0.54|50|400|300|670|430|10|4
LQM21PN_C0,LQM21PN1R0MC0D,-55,125,JELF243B-0014,1.0|±20|0.19±25%|90|0.8|0.60
LQM21PN_C0,LQM21PN1R5MC0D,-55,125,JELF243B-0014,1.5|±20|0.26±25%|70|0.7|0.52
LQM21PN_C0,LQM21PN2R2MC0D,-55,125,JELF243B-0014,2.2|±20|0.34±25%|50|0.6|0.45
LQM21PN_C0,LQM21PNR47MC0D,-55,125,JELF243B-0014,0.47|±20|0.12±25%|100|1.1|0.82
LQM21PN_G0,LQM21PN3R3MG0D,-55,125,JELF243B-0023,3.3|M:|±20|0.165|0.207|30|0.8|0.55
LQM21PN_G0,LQM21PN3R3NG0D,-55,125,JELF243B-0023,3.3|N:|±30|0.165|0.207|30|0.8|0.55
LQM21PN_G0,LQM21PNR47MG0D,-55,125,JELF243B-0023,0.47|M:|±20|0.075|0.094|100|1.3|0.95
LQM21PN_G0,LQM21PNR54MG0D,-55,125,JELF243B-0023,0.54|M:|±20|0.075|0.094|100|1.3|0.95
LQM21PN_GC,LQM21PN1R0NGCD,-55,125,JELF243B-0028,1.0|±30|0.10±25%|50|0.9|0.65
LQM21PN_GC,LQM21PN2R2NGCD,-55,125,JELF243B-0028,2.2|±30|0.23±25%|40|0.8|0.6
LQM21PN_GE,LQM21PN1R0MGEL,-55,125,JELF243B-0089,1.0|M|：±20%|0.22|0.28|120|2000|1600|950|600
LQM21PN_GE,LQM21PN1R5MGEL,-55,125,JELF243B-0089,1.5|M：±20%|0.24|0.30|100|1500|1200|920|570
LQM21PN_GE,LQM21PN2R2MGEL,-55,125,JELF243B-0089,2.2|M|：±20%|0.32|0.39|90|1100|880|800|500
