subseries,mpn,operating_temp_min_c,operating_temp_max_c,jelf_id,tokens
LQW03AW_00,LQW03AW10NJ00D,-55,125,JELF243A-0109,10.0|J:|±5%|37|0.46|7.2|250
LQW03AW_00,LQW03AW11NJ00D,-55,125,JELF243A-0109,11.0|J:|±5%|37|0.47|7.0|260
LQW03AW_00,LQW03AW12NJ00D,-55,125,JELF243A-0109,12.5|J:|±5%|39|0.54|6.0|280
LQW03AW_00,LQW03AW13NJ00D,-55,125,JELF243A-0109,13.0|J:|±5%|39|0.54|5.9|280
LQW03AW_00,LQW03AW14NJ00D,-55,125,JELF243A-0109,13.5|J:|±5%|37|0.53|6.0|240
LQW03AW_00,LQW03AW15NJ00D,-55,125,JELF243A-0109,15.5|J:|±5%|38|0.60|5.7|230
LQW03AW_00,LQW03AW1N0C00D,-55,125,JELF243A-0109,1.0|C:|±0.2|nH|48|0.03|19.0|900
LQW03AW_00,LQW03AW1N1C00D,-55,125,JELF243A-0109,1.1|C:|±0.2|nH|41|0.06|19.0|660
LQW03AW_00,LQW03AW1N7C00D,-55,125,JELF243A-0109,1.7|C:|±0.2|nH|41|0.07|19.0|600
LQW03AW_00,LQW03AW1N8C00D,-55,125,JELF243A-0109,1.8|C:|±0.2|nH|37|0.10|19.0|520
LQW03AW_00,LQW03AW1N9C00D,-55,125,JELF243A-0109,1.9|C:|±0.2|nH|41|0.08|19.0|620
LQW03AW_00,LQW03AW2N0C00D,-55,125,JELF243A-0109,2.0|C:|±0.2|nH|42|0.10|19.0|490
LQW03AW_00,LQW03AW2N1C00D,-55,125,JELF243A-0109,2.1|C:|±0.2|nH|35|0.16|19.0|400
LQW03AW_00,LQW03AW2N2C00D,-55,125,JELF243A-0109,2.2|C:|±0.2|nH|33|0.16|19.0|400
LQW03AW_00,LQW03AW2N7C00D,-55,125,JELF243A-0109,2.7|C:|±0.2|nH|46|0.06|15.0|720
LQW03AW_00,LQW03AW2N8C00D,-55,125,JELF243A-0109,2.8|C:|±0.2|nH|44|0.08|14.0|600
