mpn,size,resistance_ohms,tolerance,tcr,power_w,voltage_v,overload_voltage_v,temp_min_c,temp_max_c,aecq200
RMCF0805ZG0R00,0805,0 ohm,< 0.05 ohm,N/A,0.125,150,300,-55,155,Compliant
RMCF0805ZT0R00,0805,0 ohm,< 0.05 ohm,N/A,0.125,150,300,-55,155,Compliant
RMCF0805FG2R00,0805,2 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG10R0,0805,10 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG12R1,0805,12.1 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG12R4,0805,12.4 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG15R0,0805,15 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG23R7,0805,23.7 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG47R5,0805,47.5 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG75R0,0805,75 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG100R,0805,100 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG261R,0805,261 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG470R,0805,470 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG487R,0805,487 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG499R,0805,499 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG562R,0805,562 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG681R,0805,681 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG909R,0805,909 ohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG1K00,0805,1 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG1K10,0805,1.1 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG1K24,0805,1.24 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG1K37,0805,1.37 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG1K50,0805,1.5 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG1K69,0805,1.69 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG1K78,0805,1.78 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG2K20,0805,2.2 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG2K55,0805,2.55 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG3K01,0805,3.01 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG3K30,0805,3.3 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG3K32,0805,3.32 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG3K48,0805,3.48 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
RMCF0805FG4K02,0805,4.02 Kohm,1%,+/- 100 ppm,0.125,150,300,-55,155,Compliant
