mpn,size,resistance_ohms,tolerance,tcr,power_w,voltage_v,overload_voltage_v,temp_min_c,temp_max_c,aecq200
RNCF0805ATT432K,0805,432 Kohm,0.05%,+/- 10 ppm,0.125,150,300,-55,155,Compliant
RNCF0805BKC4K99,0805,4.99 Kohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKC10K0,0805,10 Kohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTC30K0,0805,30 Kohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKT8K06,0805,8.06 Kohm,0.1%,+/- 10 ppm,0.125,150,300,-55,155,Compliant
RNCF0805BKT10K0,0805,10 Kohm,0.1%,+/- 10 ppm,0.125,150,300,-55,155,Compliant
RNCF0805BKT16K5,0805,16.5 Kohm,0.1%,+/- 10 ppm,0.125,150,300,-55,155,Compliant
RNCF0805BKE7R50,0805,7.5 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKE301R,0805,301 ohm,0.1%,+/- 25 ppm,0.25,100,200,-55,155,Compliant
RNCF0805BKE499R,0805,499 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKE825R,0805,825 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKE909R,0805,909 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKE2K32,0805,2.32 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKE8K66,0805,8.66 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKE21K5,0805,21.5 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKE28K0,0805,28 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BKE2M00,0805,2 Mohm,0.1%,+/- 25 ppm,0.25,100,200,-55,155,Compliant
RNCF0805BTE49R9,0805,49.9 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE100R,0805,100 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE255R,0805,255 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE464R,0805,464 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE1K02,0805,1.02 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE1K20,0805,1.2 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE1K50,0805,1.5 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE4K42,0805,4.42 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE6K19,0805,6.19 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE10K4,0805,10.4 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE16K7,0805,16.7 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE26K7,0805,26.7 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE30K1,0805,30.1 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE31K6,0805,31.6 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE44K2,0805,44.2 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE100K,0805,100 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE110K,0805,110 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805BTE1M00,0805,1 Mohm,0.1%,+/- 25 ppm,0.25,100,200,-55,155,Compliant
RNCF0805CKE49R9,0805,49.9 ohm,0.25%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805CTE100K,0805,100 Kohm,0.25%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTC27R4,0805,27.4 ohm,0.5%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DKE1R62,0805,1.62 ohm,0.5%,+/- 25 ppm,0.125,150,300,-55,155,Compliant
RNCF0805DKE3R90,0805,3.9 ohm,0.5%,+/- 25 ppm,0.125,150,300,-55,155,Compliant
RNCF0805DKE120R,0805,120 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE10R0,0805,10 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE20R0,0805,20 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE47R0,0805,47 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE49R9,0805,49.9 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE160R,0805,160 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE200R,0805,200 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE220R,0805,220 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE270R,0805,270 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE330R,0805,330 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE390R,0805,390 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE750R,0805,750 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE1K00,0805,1 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE1K20,0805,1.2 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE1K62,0805,1.62 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE2K00,0805,2 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE2K49,0805,2.49 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE2K70,0805,2.7 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE3K16,0805,3.16 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE4K99,0805,4.99 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE5K10,0805,5.1 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE6K04,0805,6.04 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE6K65,0805,6.65 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE6K81,0805,6.81 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE10K0,0805,10 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE12K1,0805,12.1 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE20K0,0805,20 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE22K0,0805,22 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE30K1,0805,30.1 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE33K0,0805,33 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE56K0,0805,56 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE150K,0805,150 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE220K,0805,220 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE470K,0805,470 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE499K,0805,499 Kohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF0805DTE1M00,0805,1 Mohm,0.5%,+/- 25 ppm,0.25,100,200,-55,155,Compliant
RNCF0805FTD240R,0805,240 ohm,1%,+/- 100 ppm,0.25,150,300,-55,155,Compliant
RNCF0805FTD750R,0805,750 ohm,1%,+/- 100 ppm,0.25,150,300,-55,155,Compliant
RNCF0805FTD3K00,0805,3 Kohm,1%,+/- 100 ppm,0.25,150,300,-55,155,Compliant
RNCF0805FTD6K65,0805,6.65 Kohm,1%,+/- 100 ppm,0.25,150,300,-55,155,Compliant
RNCF0805FTD12K1,0805,12.1 Kohm,1%,+/- 100 ppm,0.25,150,300,-55,155,Compliant
RNCF0805FTC7K32,0805,7.32 Kohm,1%,+/- 50 ppm,0.25,150,300,-55,125,Compliant
RNCF0805TKC6K98,0805,6.98 Kohm,0.01%,+/- 50 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKC20K0,0805,20 Kohm,0.01%,+/- 50 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKY24R9,0805,24.9 ohm,0.01%,+/- 5 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKY75R0,0805,75 ohm,0.01%,+/- 5 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKY100R,0805,100 ohm,0.01%,+/- 5 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKY250R,0805,250 ohm,0.01%,+/- 5 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKY499R,0805,499 ohm,0.01%,+/- 5 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKY1K00,0805,1 Kohm,0.01%,+/- 5 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKY10K0,0805,10 Kohm,0.01%,+/- 5 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKT20K0,0805,20 Kohm,0.01%,+/- 10 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKT60K4,0805,60.4 Kohm,0.01%,+/- 10 ppm,0.125,150,300,-55,155,Compliant
RNCF0805TKT100K,0805,100 Kohm,0.01%,+/- 10 ppm,0.125,150,300,-55,155,Compliant
