Catalog / Data Sheet,Part No.,Status,Brand,Apps.,Feature,L x W Size,T(Max.) / mm,Capacitance,Tolerance,Rated Voltage [DC] / V,Temp. Chara.,AEC- Q200
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0402c0g1c100d020bc.pdf,C0402C0G1C100D020BC,Production,TDK,Commercial Grade,General (Up to 75V),0.4mm x 0.2mm [EIA 01005],0.22,10pF,±0.5pF,16,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0402c0g1c101j020bc.pdf,C0402C0G1C101J020BC,Production,TDK,Commercial Grade,General (Up to 75V),0.4mm x 0.2mm [EIA 01005],0.22,100pF,±5%,16,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0402c0g1c220j020bc.pdf,C0402C0G1C220J020BC,Production,TDK,Commercial Grade,General (Up to 75V),0.4mm x 0.2mm [EIA 01005],0.22,22pF,±5%,16,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0402c0g1c470j020bc.pdf,C0402C0G1C470J020BC,Production,TDK,Commercial Grade,General (Up to 75V),0.4mm x 0.2mm [EIA 01005],0.22,47pF,±5%,16,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0402x5r1a102k020bc.pdf,C0402X5R1A102K020BC,Production,TDK,Commercial Grade,General (Up to 75V),0.4mm x 0.2mm [EIA 01005],0.22,1nF,±10%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0402x5r1a222k020bc.pdf,C0402X5R1A222K020BC,Production,TDK,Commercial Grade,General (Up to 75V),0.4mm x 0.2mm [EIA 01005],0.22,2.2nF,±10%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0402x7r1a102k020bc.pdf,C0402X7R1A102K020BC,Production,TDK,Commercial Grade,General (Up to 75V),0.4mm x 0.2mm [EIA 01005],0.22,1nF,±10%,10,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603c0g1e100d030ba.pdf,C0603C0G1E100D030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,10pF,±0.5pF,25,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603c0g1e101j030ba.pdf,C0603C0G1E101J030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,100pF,±5%,25,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603c0g1e220j030ba.pdf,C0603C0G1E220J030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,22pF,±5%,25,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603c0g1e470j030ba.pdf,C0603C0G1E470J030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,47pF,±5%,25,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603c0g1h100d030ba.pdf,C0603C0G1H100D030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,10pF,±0.5pF,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603c0g1h101j030ba.pdf,C0603C0G1H101J030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,100pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603c0g1h220j030ba.pdf,C0603C0G1H220J030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,22pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603c0g1h470j030ba.pdf,C0603C0G1H470J030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,47pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r0j224k030bb.pdf,C0603X5R0J224K030BB,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,220nF,±10%,6.3,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r0j474m030bc.pdf,C0603X5R0J474M030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,470nF,±20%,6.3,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r1a104k030bc.pdf,C0603X5R1A104K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,100nF,±10%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r1a224k030bb.pdf,C0603X5R1A224K030BB,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,220nF,±10%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X5R1A474M030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.35,470nF,±20%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r1c104k030bc.pdf,C0603X5R1C104K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,100nF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r1c224k030bc.pdf,C0603X5R1C224K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,220nF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r1e102k030ba.pdf,C0603X5R1E102K030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,1nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X5R1E104K030BB,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,100nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r1e222k030ba.pdf,C0603X5R1E222K030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,2.2nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x5r1e223k030bb.pdf,C0603X5R1E223K030BB,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,22nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X5R1E224K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.35,220nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X5R1E473K030BB,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,47nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x6s0g474m030bc.pdf,C0603X6S0G474M030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.35,470nF,±20%,4,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x6s0j224k030bc.pdf,C0603X6S0J224K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,220nF,±10%,6.3,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x6s1a224k030bc.pdf,C0603X6S1A224K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.35,220nF,±10%,10,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X6S1C104K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,100nF,±10%,16,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x6s1c223k030bc.pdf,C0603X6S1C223K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,22nF,±10%,16,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x6s1c473k030bc.pdf,C0603X6S1C473K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,47nF,±10%,16,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x7r1a103k030ba.pdf,C0603X7R1A103K030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,10nF,±10%,10,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x7r1c472k030ba.pdf,C0603X7R1C472K030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,4.7nF,±10%,16,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x7r1e102k030ba.pdf,C0603X7R1E102K030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,1nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x7r1e222k030ba.pdf,C0603X7R1E222K030BA,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,2.2nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X7S0G224K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,220nF,±10%,4,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X7S0J224K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.35,220nF,±10%,6.3,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c0603x7s1a104k030bc.pdf,C0603X7S1A104K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,100nF,±10%,10,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X7S1A223K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,22nF,±10%,10,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C0603X7S1A473K030BC,Production,TDK,Commercial Grade,General (Up to 75V),0.6mm x 0.3mm [EIA 0201],0.33,47nF,±10%,10,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005c0g1h100d050ba.pdf,C1005C0G1H100D050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,10pF,±0.5pF,50,C0G,NO
