mpn,size_code,resistance_ohms,tolerance,tcr,power_w,voltage_v,temp_min_c,temp_max_c,length_mm,width_mm,height_mm
AC0201FR-07100RL,0201,100,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0710K2L,0201,10200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07100KL,0201,100000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0710K5L,0201,10500,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201DR-0710KL,0201,10000,0.5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07105KL,0201,105000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201DR-07100KL,0201,100000,0.5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201DR-07120RL,0201,120,0.5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07102KL,0201,102000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201DR-07200RL,0201,200,0.5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07102RL,0201,102,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201DR-07120KL,0201,120000,0.5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07105RL,0201,105,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07536RL,0201,536,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0768R1L,0201,68.1,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0724KL,0201,24000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0733KL,0402,33000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-071K5L,0201,1500,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0710ML,0201,10000000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07100KL,0201,100000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0720KL,0402,20000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-071ML,0201,1000000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-073R9L,0201,3.9,1%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-077K32L,0201,7320,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-07820KL,0402,820000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0402DR-07160RL,0402,160,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07127KL,0201,127000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07162KL,0201,162000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-073K24L,0201,3240,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07270RL,0201,270,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0713KL,0402,13000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0776K8L,0201,76800,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0727KL,0402,27000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07845RL,0201,845,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-071RL,0402,1,0.5%,-/+200 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0715RL,0201,15,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07402RL,0201,402,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07115KL,0201,115000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-071K3L,0402,1300,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0718K2L,0201,18200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07261KL,0201,261000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-072K8L,0201,2800,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-07523KL,0402,523000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0784K5L,0201,84500,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-073K9L,0402,3900,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201JR-073RL,0201,3,5%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071K43L,0201,1430,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0756RL,0201,56,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-1327K4L,0201,27400,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07665RL,0201,665,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-077K32L,0402,7320,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0747RL,0201,47,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-132K2L,0201,2200,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0760K4L,0201,60400,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0756R2L,0201,56.2,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-074K99L,0402,4990,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201JR-071RL,0201,1,5%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07560RL,0201,560,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-0722KL,0201,22000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0722RL,0201,22,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-072KL,0201,2000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0743KL,0402,43000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0402DR-0756KL,0402,56000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0722KL,0201,22000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071R65L,0201,1.65,1%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07806RL,0201,806,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-072KL,0402,2000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07374KL,0201,374000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-076K81L,0201,6810,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402FR-07102RL,0402,102,1%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0402FR-0710KL,0402,10000,1%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201JR-075K1L,0201,5100,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-076K19L,0201,6190,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071K47L,0201,1470,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-073ML,0201,3000000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-072ML,0201,2000000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-07120KL,0402,120000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07158RL,0201,158,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07232KL,0201,232000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07169KL,0201,169000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-077K5L,0402,7500,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07130RL,0201,130,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-072K2L,0201,2200,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0723K2L,0201,23200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402FR-0710K2L,0402,10200,1%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-075K36L,0201,5360,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-07255KL,0402,255000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201JR-0733KL,0201,33000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07330RL,0201,330,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-074K32L,0402,4320,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-072R2L,0201,2.2,1%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-0710RL,0201,10,5%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07590RL,0201,590,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-07300KL,0402,300000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07499KL,0201,499000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-0775RL,0201,75,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07150RL,0201,150,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07360RL,0201,360,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0739RL,0402,39,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07464RL,0201,464,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0761K9L,0201,61900,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-073K32L,0201,3320,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402FR-0710ML,0402,10000000,1%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07110KL,0201,110000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07133RL,0201,133,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0771R5L,0201,71.5,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07750KL,0201,750000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-076K2L,0201,6200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07221RL,0201,221,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-073KL,0402,3000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0724R9L,0201,24.9,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-073K74L,0201,3740,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071K2L,0201,1200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0734K8L,0201,34800,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-07160KL,0402,160000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-1320KL,0201,20000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0745K3L,0201,45300,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0738K3L,0201,38300,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0749R9L,0402,49.9,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201JR-0722RL,0201,22,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071K24L,0201,1240,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0710R5L,0201,10.5,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0768KL,0201,68000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-13100RL,0201,100,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0730R1L,0201,30.1,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-076K04L,0201,6040,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-1337R4L,0201,37.4,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07680RL,0201,680,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07301RL,0201,301,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071K3L,0201,1300,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07140KL,0201,140000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-136K65L,0201,6650,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-074K32L,0201,4320,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07300KL,0201,300000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-073K3L,0201,3300,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0740K2L,0201,40200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-071KL,0201,1000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0713K3L,0201,13300,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-074K02L,0201,4020,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0739K2L,0201,39200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07422KL,0201,422000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-13150RL,0201,150,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0775KL,0402,75000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-074K53L,0201,4530,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0751KL,0201,51000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0733RL,0402,33,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-071K15L,0201,1150,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0749K9L,0402,49900,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201JR-07180KL,0201,180000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07220RL,0201,220,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-075K6L,0201,5600,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071R2L,0201,1.2,1%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0795K3L,0201,95300,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07137KL,0201,137000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-072K7L,0201,2700,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0780R6L,0201,80.6,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07866KL,0201,866000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0797K6L,0201,97600,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0710KL,0402,10000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07511RL,0201,511,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0790R9L,0201,90.9,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0720RL,0201,20,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0733K2L,0201,33200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-079K53L,0201,9530,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-072KL,0201,2000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-0720KL,0201,20000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0759RL,0201,59,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-079K31L,0201,9310,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-071ML,0201,1000000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07536KL,0201,536000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-071K8L,0201,1800,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-07220RL,0402,220,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0402FR-07102KL,0402,102000,1%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07365RL,0201,365,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-074K12L,0201,4120,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-079K53L,0402,9530,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0782K5L,0201,82500,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0782RL,0201,82,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-076R8L,0201,6.8,1%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07330RL,0201,330,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-074M7L,0201,4700000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-075R1L,0201,5.1,1%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0717R4L,0201,17.4,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07182RL,0201,182,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07143KL,0201,143000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07590KL,0201,590000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07931RL,0201,931,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0762RL,0402,62,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07909RL,0201,909,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0756K2L,0201,56200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07160RL,0201,160,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07510KL,0201,510000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0715K4L,0402,15400,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07270RL,0201,270,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07249KL,0201,249000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0749K9L,0201,49900,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-072K37L,0201,2370,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07360KL,0201,360000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07110RL,0201,110,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07180RL,0201,180,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0710RL,0201,10,1%,-100/+350 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0762RL,0201,62,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0744K2L,0201,44200,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-078K66L,0201,8660,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07820RL,0201,820,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0711KL,0201,11000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0740R2L,0201,40.2,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-071K2L,0402,1200,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0402DR-0768KL,0402,68000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0716K9L,0201,16900,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07200RL,0201,200,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-076K8L,0201,6800,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071K78L,0201,1780,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07165KL,0201,165000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-075K6L,0402,5600,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201JR-0768RL,0201,68,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
