mpn,size_code,resistance_ohms,tolerance,tcr,power_w,voltage_v,temp_min_c,temp_max_c,length_mm,width_mm,height_mm
RC0100FR-073K3L,0100,3300,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0761K9L,0100,61900,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-075R1L,0100,5.1,1%,-200/+600 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0747RL,0100,47,1%,-/+300 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0711RL,0100,11,1%,-/+300 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0075JR-071KL,0075,1000,5%,-/+200 ppm/C,0.02,10,-55,125,0.3,0.15,0.13
RC0100FR-07330RL,0100,330,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-076R81L,0100,6.81,1%,-200/+600 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0720RL,0100,20,1%,-/+300 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0721KL,0100,21000,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-076K2L,0100,6200,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-077M5L,0100,7500000,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0712KL,0100,12000,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-075K1L,0100,5100,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-072R4L,0100,2.4,1%,-200/+600 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0756RL,0100,56,1%,-/+300 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-071K87L,0100,1870,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-073R3L,0100,3.3,1%,-200/+600 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-07475KL,0100,475000,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0769R8L,0100,69.8,1%,-/+300 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-07113KL,0100,113000,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-072M2L,0100,2200000,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-07357KL,0100,357000,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-07470KL,0100,470000,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-07562RL,0100,562,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0716K5L,0100,16500,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0778K7L,0100,78700,1%,-/+200 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
RC0100FR-0716R5L,0100,16.5,1%,-/+300 ppm/C,0.03,15,-55,125,0.4,0.2,0.13
