mpn,size_code,resistance_ohms,tolerance,tcr,power_w,voltage_v,temp_min_c,temp_max_c,length_mm,width_mm,height_mm
RT0201BRD07910RL,0201,910,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD07249RL,0201,249,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD074K53L,0201,4530,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD0711KL,0201,11000,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD072KL,0201,2000,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD071K1L,0201,1100,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD0713K7L,0201,13700,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD07806RL,0201,806,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRE0710RL,0201,10,0.1%,-/+50 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD075K76L,0201,5760,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD076K04L,0201,6040,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD074K7L,0201,4700,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD07680RL,0201,680,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD0718KL,0201,18000,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD0768KL,0201,68000,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD075K9L,0201,5900,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD075K11L,0201,5110,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD075K49L,0201,5490,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD078K06L,0201,8060,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD072K2L,0201,2200,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD071KL,0201,1000,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD074K32L,0201,4320,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD073K6L,0201,3600,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD0716KL,0201,16000,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD07100RL,0201,100,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD073K01L,0201,3010,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD0726K7L,0201,26700,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRE07120RL,0201,120,0.1%,-/+50 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
RT0201BRD0713KL,0201,13000,0.1%,-/+25 ppm/C,0.05,25,-55,125,0.6,0.3,0.23
