Catalog / Data Sheet,Part No.,Status,Brand,Apps.,Feature,L x W Size,T(Max.) / mm,Capacitance,Tolerance,Rated Voltage [DC] / V,Temp. Chara.,AEC- Q200
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a1x7t0g104m030bc_20190605.pdf,CGA1A1X7T0G104M030BC Equiv. C0603X7T0G104M for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.4,100nF,±20%,4,X7T,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e010c030ba.pdf,CGA1A2C0G1E010C030BA Equiv. C0603C0G1E010C for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,1pF,±0.25pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e020c030ba.pdf,CGA1A2C0G1E020C030BA Equiv. C0603C0G1E020C for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,2pF,±0.25pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e030c030ba.pdf,CGA1A2C0G1E030C030BA Equiv. C0603C0G1E030C for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,3pF,±0.25pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e040c030ba.pdf,CGA1A2C0G1E040C030BA Equiv. C0603C0G1E040C for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,4pF,±0.25pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e050c030ba.pdf,CGA1A2C0G1E050C030BA Equiv. C0603C0G1E050C for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,5pF,±0.25pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e060d030ba.pdf,CGA1A2C0G1E060D030BA Equiv. C0603C0G1E060D for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,6pF,±0.5pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e070d030ba.pdf,CGA1A2C0G1E070D030BA Equiv. C0603C0G1E070D for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,7pF,±0.5pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e080d030ba.pdf,CGA1A2C0G1E080D030BA Equiv. C0603C0G1E080D for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,8pF,±0.5pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e090d030ba.pdf,CGA1A2C0G1E090D030BA Equiv. C0603C0G1E090D for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,9pF,±0.5pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e100d030ba.pdf,CGA1A2C0G1E100D030BA Equiv. C0603C0G1E100D for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,10pF,±0.5pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e101j030ba.pdf,CGA1A2C0G1E101J030BA Equiv. C0603C0G1E101J for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,100pF,±5%,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e120j030ba.pdf,CGA1A2C0G1E120J030BA Equiv. C0603C0G1E120J for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,12pF,±5%,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e150j030ba.pdf,CGA1A2C0G1E150J030BA Equiv. C0603C0G1E150J for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,15pF,±5%,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e180j030ba.pdf,CGA1A2C0G1E180J030BA Equiv. C0603C0G1E180J for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,18pF,±5%,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e1r5c030ba.pdf,CGA1A2C0G1E1R5C030BA Equiv. C0603C0G1E1R5C for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,1.5pF,±0.25pF,25,C0G,YES
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e220j030ba.pdf,CGA1A2C0G1E220J030BA Equiv. C0603C0G1E220J for Auto,Production,TDK,Automotive Grade,AEC-Q200 General (Up to 50V),0.6mm x 0.3mm [EIA 0201],0.33,22pF,±5%,25,C0G,YES
