base_mpn,sample_mpn,length_mm,width_mm,thickness_mm,source_url
BLM15AG100,BLM15AG100SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AG100SH1
BLM15AG102,BLM15AG102SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AG102SH1
BLM15AG121,BLM15AG121SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AG121SH1
BLM15AG221,BLM15AG221SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AG221SH1
BLM15AG601,BLM15AG601SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AG601SH1
BLM15AG700,BLM15AG700SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AG700SH1
BLM15AX100,BLM15AX100SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AX100SN1
BLM15AX102,BLM15AX102SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AX102SN1
BLM15AX121,BLM15AX121SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AX121SN1
BLM15AX221,BLM15AX221SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AX221SN1
BLM15AX300,BLM15AX300SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AX300SN1
BLM15AX601,BLM15AX601SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AX601SN1
BLM15AX700,BLM15AX700SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15AX700SN1
BLM15BA050,BLM15BA050SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BA050SN1
BLM15BA100,BLM15BA100SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BA100SN1
BLM15BA220,BLM15BA220SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BA220SN1
BLM15BA330,BLM15BA330SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BA330SN1
BLM15BA470,BLM15BA470SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BA470SN1
BLM15BA750,BLM15BA750SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BA750SN1
BLM15BB050,BLM15BB050SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BB050SH1
