MPN,Package,DCR,Current,Impedance
BLM15AG100SH1,0402,0.05,1A,10-Ohm @ 100MHz
BLM15AG100SN1,0402,0.025,1A,10-Ohm @ 100MHz
BLM15AG100SZ1,0402,0.025,1A,10-Ohm @ 100MHz
BLM15AG102SH1,0402,1,200mA,1000-Ohm @ 100MHz
BLM15AG102SN1,0402,0.65,300mA,1000-Ohm @ 100MHz
BLM15AG102SZ1,0402,0.65,300mA,1000-Ohm @ 100MHz
BLM15AG121SH1,0402,0.25,500mA,120-Ohm @ 100MHz
BLM15AG121SN1,0402,0.19,550mA,120-Ohm @ 100MHz
BLM15AG121SZ1,0402,0.19,550mA,120-Ohm @ 100MHz
BLM15AG221SH1,0402,0.35,300mA,220-Ohm @ 100MHz
BLM15AG221SN1,0402,0.29,450mA,220-Ohm @ 100MHz
BLM15AG221SZ1,0402,0.29,450mA,220-Ohm @ 100MHz
BLM15AG601SH1,0402,0.6,300mA,600-Ohm @ 100MHz
BLM15AG601SN1,0402,0.52,300mA,600-Ohm @ 100MHz
BLM15AG601SZ1,0402,0.52,300mA,600-Ohm @ 100MHz
BLM15AG700SH1,0402,0.15,500mA,70-Ohm @ 100MHz
BLM15AG700SN1,0402,0.15,600mA,70-Ohm @ 100MHz
BLM15AG700SZ1,0402,0.15,600mA,70-Ohm @ 100MHz
BLM15AX100SN1,0402,0.015,1.74A,10-Ohm @ 100MHz
BLM15AX100SZ1,0402,0.015,1.74A,10-Ohm @ 100MHz
BLM15AX102SN1,0402,0.49,350mA,1000-Ohm @ 100MHz
BLM15AX102SZ1,0402,0.49,350mA,1000-Ohm @ 100MHz
BLM15AX121SN1,0402,0.13,700mA,120-Ohm @ 100MHz
BLM15AX121SZ1,0402,0.13,700mA,120-Ohm @ 100MHz
BLM15AX221SN1,0402,0.18,600mA,220-Ohm @ 100MHz
BLM15AX221SZ1,0402,0.18,600mA,220-Ohm @ 100MHz
BLM15AX300SN1,0402,0.06,1.1A,30-Ohm @ 100MHz
BLM15AX300SZ1,0402,0.06,1.1A,30-Ohm @ 100MHz
BLM15AX601SN1,0402,0.34,500mA,600-Ohm @ 100MHz
BLM15AX601SZ1,0402,0.34,500mA,600-Ohm @ 100MHz
BLM15AX700SN1,0402,0.1,780mA,70-Ohm @ 100MHz
BLM15AX700SZ1,0402,0.1,780mA,70-Ohm @ 100MHz
BLM15BA050SN1,0402,0.1,300mA,5-Ohm @ 100MHz
BLM15BA050SZ1,0402,0.1,300mA,5-Ohm @ 100MHz
BLM15BA100SN1,0402,0.2,300mA,10-Ohm @ 100MHz
BLM15BA100SZ1,0402,0.2,300mA,10-Ohm @ 100MHz
BLM15BA220SN1,0402,0.3,300mA,22-Ohm @ 100MHz
BLM15BA220SZ1,0402,0.3,300mA,22-Ohm @ 100MHz
BLM15BA330SN1,0402,0.4,300mA,33-Ohm @ 100MHz
